step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap,target_2_x,target_2_y,target_2_cap
3,18,-1.4653456,-0.13516426,0.33686388,0,0.12999999523162842,0.0,0.0,0.0,0.017252085730433464,0.8460183143615723,0.3771919012069702,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,19,-0.43751174,0.57556385,-2.7296708,0,0.0,0.0,0.12999999523162842,0.0,0.03540917485952377,0.3756193518638611,0.30414247512817383,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,20,0.47798285,0.6856325,-1.3005244,0,0.007035387679934502,0.0,0.11806374043226242,0.004900858737528324,0.01396547444164753,0.4322202801704407,0.29641395807266235,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,21,1.2302561,0.94545704,0.607274,0,0.006988145411014557,0.013521574437618256,0.08092784136533737,0.028562435880303383,0.022784534841775894,0.41390544176101685,0.21429121494293213,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,22,-1.0275122,0.21106227,-2.0046158,0,0.11185343563556671,0.0,0.0,0.018146565183997154,0.021764392033219337,0.8090111017227173,0.4635743200778961,0.0,0.0,0.0,0.0,0,0,1,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,23,-0.28815177,-0.025920294,-2.7879052,0,0.001274777459912002,0.0,0.12494032084941864,0.0037848958745598793,0.028808463364839554,0.38848626613616943,0.3923499286174774,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,0,0.32331917,0.67883253,-1.8074666,0,0.0,0.000245655799517408,0.1200951486825943,0.00965918693691492,0.013168783858418465,0.41698402166366577,0.2696773409843445,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,1,-0.86822444,-0.50734365,-1.1991088,0,0.10930842906236649,0.0,0.0,0.020691566169261932,0.019252553582191467,0.6707038879394531,0.46522969007492065,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,2,1.2135602,-0.838179,1.9553572,0,0.11609266698360443,0.0,0.01390731893479824,0.0,0.034452471882104874,0.7451196908950806,0.35818803310394287,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,3,0.4798147,-0.28367296,-1.3706744,0,0.006503276526927948,0.0,0.11894690990447998,0.0045498148538172245,0.023463163524866104,0.4074825644493103,0.3622806668281555,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
